is_in:village,Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_marigat,Sub_Location_Kiponjos,Sub_Location_Bekibon,Sub_Location_Tuluongoi,Sub_Location_Kimalel,Sub_Location_Kimondis,Sub_Location_Sokta,Sub_Location_Ewalel_Soi,Sub_ward_location,Sub_location_Mogotio,Sub_location_ngubereti,Sub_location_Sirwa,Sub_location_Koitebes_Kimngorom,Sub_location_Kiptoim,Sub_location_Rosoga,PB_or_HQ,Project_Name,Additional_Project_Details,,,Budgeted sum,wb_pb:id,added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Projects_that_have_been_completed,projects_that_have_not_yet_started,projects_that_have_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,image:project,Notes corrections on Kobo,zack's comment/feedback/correction,Validation Status on Kobo
Kapchumo,yes,marigat,kimalel,,,,,sabor,,,,,,,,,,,HQ,Kapchumo ECDE,Construction of ECDE classroom,,,,212,,EDU,ecde_centre,,completed,operational,,,adequate,Well built structure. Availability of water. Shortage of teachers. Lack of electricity. Classroom needs some refurnishing.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568717296827.jpg,Corrected grammar,,Approved
Ngoswe,yes,marigat,marigat,perkera,,,,,,,,,,,,,,,HQ,Ngoswe Borehole,Drilling Of Borehole,,,,223,223,WI,borehole,,completed,operational,,,excellent,1.Supply water to the community 2.The water,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568360492141.jpg,Nothing,,Approved
Kampi Ya Kulima,yes,marigat,marigat,perkera,,,,,,,,,,,,,,,HQ,Ndambul Borehole,Construction Of Borehole,,,,224,224,WI,borehole,,completed,operational,,,excellent,1.There is enough water frequently 2.The water is good for human consumption 3.The piping was not well done.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568363936673.jpg,"Zack, see comment on ID",,
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Roundabout Bodaboda Shed,Building of bodaboda shed,,,,227,227,FIEC,Other_1,Bodaboda Shed,completed,operational,,,excellent,1.The floor is well done 2.Roofing is well fitted,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568381205606.jpg,no. 227 three times on 13/09: correct since 3 sheds for boda boda but one project only Not yet corrected,That's how they should be coz they are all the same project on project list,
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Bodaboda Shed,Building of bodaboda shed,,,,227,227,FIEC,Other_1,Bodaboda Shed,completed,operational,,,adequate,1.Floor is poorly done 2.Roofing is well done,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568381895690.jpg,no. 227 three times on 13/09: correct since 3 sheds for boda boda but one project only Not yet corrected,That's how they should be coz they are all the same project on project list,
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Bodaboda shed,Building of bodaboda shed,,,,227,227,FIEC,Other_1,Bodaboda shed,completed,operational,,,adequate,1.The floor is poorly done 2.Provides shelter to bodaboda riders during rain and sunny seasons,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568383267052.jpg,no. 227 three times on 13/09: correct since 3 sheds for boda boda but one project only Not yet corrected,That's how they should be coz they are all the same project on project list,
Town B,yes,marigat,marigat,perkera,,,,,,,,,,,,,,,HQ,Perkerra Bodaboda Shed,Erection of a bodaboda shed,,,,227,,LHUD,Other_1,Bodaboda Shed,completed,operational,,,excellent,The shed offers ample parking and docking for bodaboda riders and passengers,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568795362752.jpg,"this is the fourth 227, but different department: the other 3 on 13/09 are under FIEC. Which one is correct?",,
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Marigat Market,Building Market Shed,,,,228,228,TCI,market_shed,,completed,operational,,,excellent,1.Traders want stalls to be build 2.Roofing is well fitted 3.Market shed attract more traders so they have to extend,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568379681319.jpg,"on Kobo under 228 there is a bodaboda shed, why? and this market is actually 227 on Kobo. Maybe not written correctly here on csv? Not yet corrected",,
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Youth Empowerment Centre,Construction Of Youth Empowerment Center,,,,229,,SCG,social_hall,,on_going,,,,adequate,"1.The foundation of the building has already been done and the land has been fenced
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Honey stall,Construction Of Honey Stalls,,,,230,,LHUD,Other_1,Honey Stalls,completed,operational,,,adequate,"1.The stalls provide an ample working space for traders
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Marigat Sub County Hospital Septic Tank,Construction of Septic tank,232,,HS,Other_1,Septic Tank,on_going,,,,adequate,Lacks enough man power,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1570000846382.jpg,,,,revisited data,,
